Year,Category,Education,Salary
2011,FIN,Master's/Professional,29322.0
2011,HLS,Bachelor's,14404.75
2011,HLS,Doctorate,17447.0
2011,HLS,Master's/Professional,10675.5
2011,LGL,Bachelor's,16605.0
2011,LGL,Doctorate,30409.0
2011,LGL,Master's/Professional,23527.0
2011,MED,Bachelor's,34209.75
2011,MED,Doctorate,26178.0
2011,MED,Master's/Professional,17455.5
2011,MGR,Bachelor's,32858.583333333336
2011,MGR,Doctorate,41885.25
2011,MGR,Master's/Professional,32591.25
2011,OFF,Bachelor's,15384.5
2011,OFF,Doctorate,23197.625
2011,OFF,Master's/Professional,15294.875
2011,PRD,Bachelor's,17278.058823529413
2011,PRD,Doctorate,24757.176470588234
2011,PRD,Master's/Professional,18124.117647058825
2011,PRS,Bachelor's,8170.25
2011,PRS,Doctorate,13364.333333333334
2011,PRS,Master's/Professional,9973.333333333334
2011,PRT,Bachelor's,12919.75
2011,PRT,Doctorate,30193.0
2011,PRT,Master's/Professional,14217.75
2011,RPR,Bachelor's,22915.46153846154
2011,RPR,Doctorate,32340.846153846152
2011,RPR,Master's/Professional,22531.884615384617
2011,SAL,Bachelor's,12065.538461538461
2011,SAL,Doctorate,24698.076923076922
2011,SAL,Master's/Professional,16049.692307692309
2011,SCI,Bachelor's,26408.0
2011,SCI,Doctorate,40593.666666666664
2011,SCI,Master's/Professional,19759.0
2011,TRN,Bachelor's,21725.666666666668
2011,TRN,Doctorate,27269.722222222223
2011,TRN,Master's/Professional,23602.722222222223
2012,BUS,Bachelor's,16318.0
2012,BUS,Doctorate,30424.333333333332
2012,BUS,Master's/Professional,26789.0
2012,CLN,Bachelor's,13979.5
2012,CLN,Doctorate,20293.833333333332
2012,CLN,Master's/Professional,14698.166666666666
2012,CMS,Bachelor's,15022.5
2012,CMS,Doctorate,21820.0
2012,CMS,Master's/Professional,17197.25
2012,CON,Bachelor's,17868.68181818182
2012,CON,Doctorate,28380.090909090908
2012,CON,Master's/Professional,22637.454545454544
2012,EAT,Bachelor's,8016.727272727273
2012,EAT,Doctorate,12823.181818181818
2012,EAT,Master's/Professional,8755.363636363636
2012,EDU,Bachelor's,18241.166666666668
2012,EDU,Doctorate,23259.833333333332
2012,EDU,Master's/Professional,27889.333333333332
2012,ENG,Bachelor's,16365.5
2012,ENG,Doctorate,41052.5
2012,ENG,Master's/Professional,34523.0
2012,ENT,Bachelor's,9059.285714285714
2012,ENT,Doctorate,17487.714285714286
2012,ENT,Master's/Professional,10775.57142857143
2012,EXT,Bachelor's,29372.0
2012,EXT,Doctorate,45695.5
2012,EXT,Master's/Professional,45173.75
2012,FFF,Bachelor's,11748.833333333334
2012,FFF,Doctorate,18739.833333333332
2012,FFF,Master's/Professional,10445.666666666666
2012,FIN,Bachelor's,44147.5
2012,FIN,Doctorate,23676.5
2012,FIN,Master's/Professional,18040.0
2012,HLS,Bachelor's,15512.8
2012,HLS,Doctorate,17604.2
2012,HLS,Master's/Professional,13782.6
2012,MED,Bachelor's,26985.6
2012,MED,Doctorate,29758.6
2012,MED,Master's/Professional,20635.6
2012,MGR,Bachelor's,34895.90909090909
2012,MGR,Doctorate,40803.454545454544
2012,MGR,Master's/Professional,32251.454545454544
2012,MIL,Bachelor's,14213.0
2012,MIL,Doctorate,28050.0
2012,MIL,Master's/Professional,11824.0
2012,OFF,Bachelor's,16381.518518518518
2012,OFF,Doctorate,24964.666666666668
2012,OFF,Master's/Professional,18668.185185185186
2012,PRD,Bachelor's,17309.488372093023
2012,PRD,Doctorate,26263.023255813954
2012,PRD,Master's/Professional,17928.25581395349
2012,PRS,Bachelor's,8671.142857142857
2012,PRS,Doctorate,14989.285714285714
2012,PRS,Master's/Professional,10556.642857142857
2012,PRT,Bachelor's,19325.8
2012,PRT,Doctorate,29294.0
2012,PRT,Master's/Professional,24194.0
2012,RPR,Bachelor's,21988.24
2012,RPR,Doctorate,33115.44
2012,RPR,Master's/Professional,23784.84
2012,SAL,Bachelor's,14860.642857142857
2012,SAL,Doctorate,23472.5
2012,SAL,Master's/Professional,18453.785714285714
2012,SCI,Bachelor's,30808.5
2012,SCI,Doctorate,34123.5
2012,SCI,Master's/Professional,25022.5
2012,TRN,Bachelor's,17428.823529411766
2012,TRN,Doctorate,26546.882352941175
2012,TRN,Master's/Professional,22442.470588235294
2013,BUS,Bachelor's,31581.166666666668
2013,BUS,Doctorate,48911.5
2013,BUS,Master's/Professional,48702.0
2013,CLN,Bachelor's,20605.833333333332
2013,CLN,Doctorate,27747.666666666668
2013,CLN,Master's/Professional,21359.666666666668
2013,CMS,Bachelor's,16474.8
2013,CMS,Doctorate,24445.2
2013,CMS,Master's/Professional,22319.0
2013,CON,Bachelor's,29084.761904761905
2013,CON,Doctorate,36592.142857142855
2013,CON,Master's/Professional,28877.85714285714
2013,EAT,Bachelor's,9691.454545454546
2013,EAT,Doctorate,14978.09090909091
2013,EAT,Master's/Professional,10651.454545454546
2013,EDU,Bachelor's,28348.0
2013,EDU,Doctorate,39549.833333333336
2013,EDU,Master's/Professional,33111.5
2013,ENG,Bachelor's,41329.0
2013,ENG,Doctorate,46093.5
2013,ENG,Master's/Professional,38132.0
2013,ENT,Bachelor's,15048.714285714286
2013,ENT,Doctorate,30495.14285714286
2013,ENT,Master's/Professional,14252.57142857143
2013,EXT,Bachelor's,47969.25
2013,EXT,Doctorate,56519.75
2013,EXT,Master's/Professional,51398.5
2013,FFF,Bachelor's,14501.2
2013,FFF,Doctorate,24154.4
2013,FFF,Master's/Professional,17733.0
2013,FIN,Bachelor's,55745.0
2013,FIN,Doctorate,37574.0
2013,FIN,Master's/Professional,36020.333333333336
2013,HLS,Bachelor's,14767.666666666666
2013,HLS,Doctorate,23526.333333333332
2013,HLS,Master's/Professional,17468.0
2013,LGL,Bachelor's,27748.0
2013,LGL,Doctorate,42447.0
2013,LGL,Master's/Professional,25541.0
