date,fips_code,state,county,living_wage,poverty_wage,minimum_wage,year
20210804185128,01039,Alabama,Covington County,12.81,6.13,7.25,2021
20211203160950,01039,Alabama,Covington County,12.81,6.13,7.25,2021
20130529091751,01041,Alabama,Crenshaw County,7.75,5.21,7.25,2013
20141115091320,01041,Alabama,Crenshaw County,7.75,5.21,7.25,2014
20150910085149,01041,Alabama,Crenshaw County,9.68,5.0,7.25,2015
20151020215330,01041,Alabama,Crenshaw County,9.68,5.0,7.25,2015
20151121033605,01041,Alabama,Crenshaw County,9.68,5.0,7.25,2015
20160831162241,01041,Alabama,Crenshaw County,9.65,5.0,7.25,2016
20161203161757,01041,Alabama,Crenshaw County,9.65,5.0,7.25,2016
20170608155449,01041,Alabama,Crenshaw County,9.73,5.0,7.25,2017
20190715174444,01041,Alabama,Crenshaw County,10.54,5.84,7.25,2019
20200807034535,01041,Alabama,Crenshaw County,10.47,6.0,7.25,2020
20201026212239,01041,Alabama,Crenshaw County,10.47,6.0,7.25,2020
20210121051331,01041,Alabama,Crenshaw County,10.47,6.0,7.25,2021
20210414224255,01041,Alabama,Crenshaw County,12.72,6.13,7.25,2021
20210729022358,01041,Alabama,Crenshaw County,12.72,6.13,7.25,2021
20211016053125,01041,Alabama,Crenshaw County,12.72,6.13,7.25,2021
20220127052246,01041,Alabama,Crenshaw County,12.72,6.13,7.25,2022
20141203171236,01043,Alabama,Cullman County,8.25,5.21,7.25,2014
20150109001531,01043,Alabama,Cullman County,8.25,5.21,7.25,2015
20150910080738,01043,Alabama,Cullman County,9.95,5.0,7.25,2015
20160311154745,01043,Alabama,Cullman County,9.95,5.0,7.25,2016
20160511121322,01043,Alabama,Cullman County,9.95,5.0,7.25,2016
20160831135756,01043,Alabama,Cullman County,9.97,5.0,7.25,2016
20161203130810,01043,Alabama,Cullman County,9.97,5.0,7.25,2016
20170608135005,01043,Alabama,Cullman County,9.85,5.0,7.25,2017
20190715174449,01043,Alabama,Cullman County,10.65,5.84,7.25,2019
20200807035335,01043,Alabama,Cullman County,10.63,6.0,7.25,2020
20201026213112,01043,Alabama,Cullman County,10.63,6.0,7.25,2020
20210121052154,01043,Alabama,Cullman County,10.63,6.0,7.25,2021
20210414225509,01043,Alabama,Cullman County,12.77,6.13,7.25,2021
20210804185729,01043,Alabama,Cullman County,12.77,6.13,7.25,2021
20211203161223,01043,Alabama,Cullman County,12.77,6.13,7.25,2021
20130530010828,01045,Alabama,Dale County,7.88,5.21,7.25,2013
20150315060401,01045,Alabama,Dale County,7.88,5.21,7.25,2015
20150910090440,01045,Alabama,Dale County,9.38,5.0,7.25,2015
20160301111430,01045,Alabama,Dale County,9.38,5.0,7.25,2016
